year,marriage_rate,womens_edu_rate,childbearing_age_share,tfr
1997,0.584189,0.07898,0.531423,1.77
1998,0.57743,0.087699,0.534989,1.465
1999,0.572316,0.10241,0.536947,1.555
2000,0.567817,0.12083,0.537062,1.68
2001,0.562692,0.137562,0.535065,1.4
2002,0.557416,0.155475,0.533251,1.34
2003,0.55065,0.208016,0.530498,1.235
2004,0.543079,0.232476,0.525992,1.18
2005,0.536419,0.262705,0.521588,1.115
2006,0.531072,0.290837,0.518492,1.115
2007,0.525544,0.323257,0.514752,1.1
2008,0.522418,0.353102,0.511266,1.05
2009,0.51652,0.383622,0.507365,1.03
2010,0.512029,0.415268,0.503614,0.895
2011,0.510328,0.446157,0.499334,1.065
2012,0.506362,0.478725,0.493913,1.27
2013,0.504634,0.511177,0.489054,1.065
2014,0.502582,0.544524,0.484297,1.165
2015,0.500408,0.57748,0.47976,1.175
2016,0.498659,0.615221,0.473115,1.17
2017,0.496233,0.657258,0.468478,1.125
2018,0.494146,0.696042,0.464275,1.06
2019,0.491897,0.742301,0.458176,1.05
2020,0.48967,0.788483,0.451991,0.99
2021,0.487681,0.832981,0.445748,0.975
2022,0.485814,0.888163,0.439806,0.87
2023,0.482393,0.95019,0.43381,0.865
